external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,SPARKLING,Praeclarus brut,Kelleri St. Pauls,,BOTTLE,0,3900,0,9,,,True
,SPARKLING,Haderburg Pas Dosè Millesimato,Sektkellerei Haderburg ,,BOTTLE,2024,5700,0,6,,,True
,SPARKLING,Athesis Brut Rosè ,Sektkellerei Kettmeier,,BOTTLE,2020,4600,0,2,,,True
,SPARKLING,Ferrari Maximum Blanc de Blanc Brut ,Ferrari,,BOTTLE,0,5200,0,3,,,True
,SPARKLING,Corvezzo Rosè Family Collection Millesimato,Corvezzo,,BOTTLE,0,2400,0,5,,,True
,SPARKLING,Franciacorta Curvee Prestige Blanc de Blanc Extra brut,Ca' del Bosco,,BOTTLE,0,5950,0,5,,,True
,SPARKLING,Franciacorta Rose,Marchese Antinori,,BOTTLE,0,5600,0,6,,,True
,SPARKLING,Franciacorta Amor brut ,,,BOTTLE,0,3800,0,1,,,True
,SPARKLING,Franciacorta Amor rose,,,BOTTLE,0,3900,0,3,,,True
,SPARKLING,Franciacorta Vezzoli (BB) Brut,Tenuta Vezzoli,,BOTTLE,0,4700,0,12,,,True
,SPARKLING,Blanc de Blan Brut Origine,Mandois,,BOTTLE,0,5950,0,12,,,True
,SPARKLING,Blanc de Blan Brut Origine,Mandois,,BOTTLE,2018,7500,0,12,,,True
,SPARKLING,Reserve Imperial ,Moet & Chandon,,BOTTLE,0,9500,0,1,,,True
,SPARKLING,Ruinart Rose Brut,Maison Ruinart,,BOTTLE,0,15550,0,2,,,True
,SPARKLING,Ruinart blanc de blanc brut,Maison Ruinart,,BOTTLE,0,14950,0,2,,,True
,SPARKLING,Dom Perignon Vintage 2006,Moet & Chandon,,BOTTLE,2006,24000,0,1,,,True
,SPARKLING,Perrier-Jouët : Grand Brut,Perrier-Jouët ,,BOTTLE,0,7800,0,1,,,True
,SPARKLING,Ferrari Maximum Blanc de Blanc,Ferrari,,MAGNUM,2021,10800,0,1,,,True
,SPARKLING,Der Blauwal extra brut,Cesconi,,MAGNUM,2022,19950,0,1,,,True
,SPARKLING,Cuvee Royal Brut,Marchesi Antinori,,MAGNUM,2022,12400,0,1,,,True
,SPARKLING,Reserve Imperial Brut,Moet & Chandon,,MAGNUM,0,19950,0,1,,,True
,SPARKLING,Athesis Brut Rose Millesimato 2018,Kettmaier,,MAGNUM,2018,9900,0,1,,,True
